emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),data pobrania
KRUK,KRU0226,GPW RR,1,"97,9000","97,9500","97,9500","97,9500",09:09:01,500,"97,9500",0.05,1,25,"97,9600","98,1000",63,1,1,500,"49,41",2025-01-29 11:53:04
KRUK,KRU0227,GPW RR,1,"101,6000",-,-,-,2025-01-27,-,"101,6000",-,1,100,"101,5000","102,5000",100,1,-,-,-,2025-01-29 11:53:04
KRUK,KRU0228,GPW ASO,1,"103,0000",-,-,-,2025-01-13,-,"103,0000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
KRUK,KRU0325,GPW ASO,1,"100,3800",-,-,-,2025-01-27,-,"100,3800",-,1,25,"100,3700","100,9800",10,1,-,-,-,2025-01-29 11:53:04
KRUK,KRU0625,GPW ASO,1,"101,4000",-,-,-,2025-01-27,-,"101,4000",-,1,20,"101,0100","101,4000",1,1,-,-,-,2025-01-29 11:53:04
KRUK,KRU0626,GPW RR,1,"96,4900",-,-,-,2025-01-27,-,"96,4900",-,1,25,"96,1600","96,4800",125,2,-,-,-,2025-01-29 11:53:04
KRUK,KRU0627,GPW ASO,1,"103,0100",-,-,-,2025-01-23,-,"103,0100",-,1,1,"103,0100","103,6000",60,1,-,-,-,2025-01-29 11:53:04
KRUK,KRU0628,GPW RR,1,"104,2000","104,5000","104,5000","104,5000",09:00:00,60,"104,5000",0.29,1,100,"103,5000","104,2000",49,1,1,60,"6,35",2025-01-29 11:53:04
KRUK,KRU0726,GPW RR,1,"96,2400","96,2200","96,2200","96,2200",09:00:00,200,"96,2200",-0.02,1,175,"96,0100","96,2100",187,1,1,200,"19,29",2025-01-29 11:53:04
KRUK,KRU0827,GPW RR,1,"102,1900","102,2000",-,-,2025-01-28,-,"102,1900",-,1,100,"101,6000","102,2000",900,1,-,-,-,2025-01-29 11:53:04
KRUK,KRU0828,GPW RR,1,"104,0000","104,1000","104,1000","104,2000",10:55:13,116,"104,2000",0.19,1,100,"103,6100","104,2000",84,2,2,216,"22,99",2025-01-29 11:53:04
KRUK,KRU0925,GPW RR,1,"99,0000","99,0000","99,0000","99,0000",10:32:50,50,"99,0000",0.00,2,138,"99,0000","99,2000",46,1,2,100,"9,95",2025-01-29 11:53:04
KRUK,KRU1028,GPW RR,1,"103,9700","103,9700","103,9700","103,9700",10:25:26,42,"103,9700",0.00,1,52,"103,8000","103,9700",92,1,1,42,"4,40",2025-01-29 11:53:04
KRUK,KRU1029,GPW ASO,1,"108,0000",-,-,-,2025-01-24,-,"108,0000",-,1,147,"108,0000","109,0000",4,1,-,-,-,2025-01-29 11:53:04
KRUK,KRU1127,GPW RR,1,"103,7200",-,-,-,2025-01-23,-,"103,7200",-,1,24,"103,7200","104,0900",100,1,-,-,-,2025-01-29 11:53:04
KRUK,KRU1130,GPW RR,1,"100,8500","101,0700","101,0700","101,0800",10:39:27,10,"101,0700",0.22,1,49,"101,0700","101,0800",46,1,4,254,"26,12",2025-01-29 11:53:04
KRUK,KRU1226,GPW RR,1,"102,3600",-,-,-,2025-01-28,-,"102,3600",-,1,50,"101,5300","102,3600",86,1,-,-,-,2025-01-29 11:53:04
LOKUM DEWELOPER,LKD0627,GPW ASO,1,"100,0000",-,-,-,2024-06-18,-,"100,0000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
MBANK,MBK01PERP-K,GPW ASO,1,"100,1000",-,-,-,2024-12-06,-,"100,1000",-,1,1,"99,0000","101,1500",2,1,-,-,-,2025-01-29 11:53:04
MBANK,MBK1028,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
MBANK,MBK1028,GPW ASO,1,"100,1000",-,-,-,2025-01-20,-,"100,1000",-,1,1,"100,0000",-,-,-,-,-,-,2025-01-29 11:53:04
MBANK,MBK1030,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
MBANK,MBK1030,GPW ASO,1,"102,0000",-,-,-,2024-09-23,-,"102,0000",-,1,1,"100,0000",-,-,-,-,-,-,2025-01-29 11:53:04
MCI CAPITAL ASI,MCI0227,GPW RR,1,"101,0000",-,-,-,2025-01-28,-,"101,0000",-,1,250,"100,7500","101,0000",369,1,-,-,-,2025-01-29 11:53:04
MCI CAPITAL ASI,MCI1126,GPW RR,1,"101,5000",-,-,-,2025-01-27,-,"101,5000",-,1,30,"100,0100","101,5000",100,1,-,-,-,2025-01-29 11:53:04
MCI MANAGEMENT SP. Z O.O,MCM0727,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
MCI MANAGEMENT SP. Z O.O,MCM1127,GPW ASO,1,"101,8000",-,-,-,2025-01-28,-,"101,8000",-,1,50,"101,0300","101,8000",40,1,-,-,-,2025-01-29 11:53:04
BANK MILLENNIUM,MIL0129,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
BANK MILLENNIUM,MIL0129,GPW ASO,1,"101,1000",-,-,-,2024-12-30,-,"101,1000",-,1,1,"99,5000",-,-,-,-,-,-,2025-01-29 11:53:04
BANK MILLENNIUM,MIL1227,BS ASO,1,"97,5000",-,-,-,2020-10-21,-,"97,5000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
BANK MILLENNIUM,MIL1227,GPW ASO,1,"101,0000",-,-,-,2025-01-28,-,"101,0000",-,1,1,"99,5000",-,-,-,-,-,-,2025-01-29 11:53:04
MURAPOL,MUR0527,GPW ASO,1,"100,8000",-,-,-,2024-10-04,-,"100,8000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
MARVIPOL DEVELOPMENT,MVP0227,GPW RR,1,"102,6800","102,6800","102,6800","102,6800",11:31:18,10,"102,6800",0.00,1,5,"101,0400","102,6800",7,2,2,22,"22,59",2025-01-29 11:53:04
MARVIPOL DEVELOPMENT,MVP0326,GPW ASO,1,"102,4800","102,3800","102,3800","102,3800",09:00:00,13,"102,3800",-0.10,1,5,"101,8000","102,3800",12,1,3,30,"32,12",2025-01-29 11:53:04
MARVIPOL DEVELOPMENT,MVP0526,GPW RR,1,"102,6300",-,-,-,2025-01-24,-,"102,6300",-,1,5,"100,4200","102,4900",12,1,-,-,-,2025-01-29 11:53:04
MARVIPOL DEVELOPMENT,MVP0528,GPW RR,1,"101,5000","101,4900","101,4000","101,4900",09:33:39,3,"101,4000",-0.10,1,12,"101,1100","101,4900",9,1,4,73,"75,80",2025-01-29 11:53:04
MARVIPOL DEVELOPMENT,MVP0825,GPW RR,1,"100,2000",-,-,-,2025-01-22,-,"100,2000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
MARVIPOL DEVELOPMENT,MVP1228,GPW RR,1,"100,5000","100,5000","100,5000","100,5000",09:00:00,4,"100,5000",0.00,1,1,"100,1000","101,4800",10,1,1,4,"4,06",2025-01-29 11:53:04
NDI FINANCE,NDI0327,GPW ASO,1,"101,9000",-,-,-,2025-01-22,-,"101,9000",-,-,-,-,"103,2000",50,1,-,-,-,2025-01-29 11:53:04
OLIVIA FIN,OBC0127,GPW ASO,1,"102,0000",-,-,-,2025-01-15,-,"102,0000",-,1,24,"101,8000","102,7900",29,1,-,-,-,2025-01-29 11:53:04
OLIVIA FIN,OBC0226,GPW ASO,1,"98,5000",-,-,-,2025-01-22,-,"98,5000",-,1,9,"98,5200","101,0000",33,1,-,-,-,2025-01-29 11:53:04
OLIVIA FIN,OBC0227,GPW ASO,1,"101,7000",-,-,-,2025-01-28,-,"101,7000",-,1,5,"101,7000","102,9300",9,1,-,-,-,2025-01-29 11:53:04
OLIVIA FIN,OBC0426,GPW ASO,1,"101,0000",-,-,-,2025-01-28,-,"101,0000",-,1,10,"100,0000","101,0000",5,1,-,-,-,2025-01-29 11:53:04
OLIVIA FIN,OBC0526,GPW ASO,1,"101,4500",-,-,-,2025-01-16,-,"101,4500",-,1,10,"100,4000","101,4500",22,1,-,-,-,2025-01-29 11:53:04
OLIVIA FIN,OBC1026,GPW ASO,1,"102,7500",-,-,-,2025-01-28,-,"102,7500",-,1,5,"101,0000","102,7400",14,1,-,-,-,2025-01-29 11:53:04
OLIVIA FIN,OBC1028,GPW ASO,1,"100,0000","100,9000","100,0000","101,0000",10:25:22,9,"100,0000",0.00,2,32,"100,0000","101,4000",83,1,4,68,"70,53",2025-01-29 11:53:04
OLIVIA FIN,OBC1125,GPW ASO,1,"101,9900",-,-,-,2025-01-02,-,"101,9900",-,1,7,"99,0100","101,8300",30,1,-,-,-,2025-01-29 11:53:04
OLIVIA FIN,OBC1126,GPW ASO,1,"102,5000",-,-,-,2025-01-28,-,"102,5000",-,1,25,"101,6500","102,7000",5,1,-,-,-,2025-01-29 11:53:04
OKAM CAPITAL,OKA0926,GPW ASO,1,"100,9000",-,-,-,2025-01-16,-,"100,9000",-,1,150,"101,2100","102,5000",10,1,-,-,-,2025-01-29 11:53:04
OKAM CAPITAL,OKA1127,GPW ASO,1,"100,1000",-,-,-,2025-01-28,-,"100,1000",-,1,100,"100,0500","101,6900",50,1,-,-,-,2025-01-29 11:53:04
OKAM INCITY,OKM0725,GPW ASO,1,"100,8000",-,-,-,2024-11-13,-,"100,8000",-,1,80,"100,0500",-,-,-,-,-,-,2025-01-29 11:53:04
PEKABEX,PBX0625,GPW ASO,1,"99,0000",-,-,-,2024-06-27,-,"99,0000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PCC ROKITA,PCR0425,GPW RR,1,"99,9000",-,-,-,2025-01-28,-,"99,9000",-,2,91,"99,1500","99,8000",21,1,-,-,-,2025-01-29 11:53:04
PCC ROKITA,PCR0426,GPW RR,1,"98,2800",-,-,-,2025-01-28,-,"98,2800",-,1,10,"98,0000","98,3000",29,1,-,-,-,2025-01-29 11:53:04
PCC ROKITA,PCR0527,GPW RR,1,"96,0000",-,-,-,2025-01-27,-,"96,0000",-,1,200,"96,5000","97,1700",13,1,-,-,-,2025-01-29 11:53:04
PCC ROKITA,PCR0629,GPW RR,1,"101,5000",-,-,-,2025-01-28,-,"101,5000",-,1,40,"101,5000","102,2600",41,1,-,-,-,2025-01-29 11:53:04
PCC ROKITA,PCR1026,GPW RR,1,"98,5000",-,-,-,2025-01-27,-,"98,5000",-,1,28,"98,0700","98,5800",40,1,-,-,-,2025-01-29 11:53:04
PCC ROKITA,PCR1028,GPW RR,1,"102,6000",-,-,-,2025-01-23,-,"102,6000",-,2,67,"102,6000","104,9000",148,2,-,-,-,2025-01-29 11:53:04
PCC ROKITA,PCR1228,GPW RR,1,"103,5500",-,-,-,2025-01-28,-,"103,5500",-,1,43,"102,5500","103,9000",37,1,-,-,-,2025-01-29 11:53:04
PCC EXOL,PCX0925,GPW RR,1,"98,9000","99,0400","99,0000","99,0500",11:00:04,11,"99,0500",0.15,1,30,"98,7300","99,0500",30,1,3,211,"21,02",2025-01-29 11:53:04
PCC EXOL,PCX0929,GPW RR,1,"100,0000",-,-,-,2025-01-28,-,"100,0000",-,1,30,"100,1000","101,2200",49,1,-,-,-,2025-01-29 11:53:04
PEKAO,PEO0127,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,"100,0900",2,1,-,-,-,2025-01-29 11:53:04
PEKAO,PEO0426,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,1,"100,3000",-,-,-,-,-,-,2025-01-29 11:53:04
PEKAO,PEO0429,GPW ASO,1,"100,9900",-,-,-,2025-01-17,-,"100,9900",-,1,1,"100,5000","100,9900",2,1,-,-,-,2025-01-29 11:53:04
PEKAO,PEO0631,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PEKAO,PEO0631,GPW ASO,1,"100,7000",-,-,-,2025-01-28,-,"100,7000",-,-,-,-,"100,7000",3,1,-,-,-,2025-01-29 11:53:04
PEKAO,PEO0727,GPW ASO,1,"100,5000",-,-,-,2025-01-28,-,"100,5000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PEKAO,PEO1027,BS ASO,1,"100,6000",-,-,-,2018-03-12,-,"100,6000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PEKAO,PEO1027,GPW ASO,1,"101,1000","101,3900","101,3900","101,3900",09:00:00,10,"101,3900",0.29,1,50,"101,2000","101,4000",200,1,1,10,"10,32",2025-01-29 11:53:04
PEKAO,PEO1028,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PEKAO,PEO1028,GPW ASO,1,"100,9000",-,-,-,2024-12-30,-,"100,9000",-,-,-,-,"100,9400",2,1,-,-,-,2025-01-29 11:53:04
PEKAO,PEO1033,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PEKAO,PEO1033,GPW ASO,1,"100,0000",-,-,-,2025-01-20,-,"100,0000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PGE,PGE0526,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PGE,PGE0526,GPW ASO,1,"101,5000",-,-,-,2025-01-28,-,"101,5000",-,2,4,"100,3100","101,5000",203,2,-,-,-,2025-01-29 11:53:04
PGE,PGE0529,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PGE,PGE0529,GPW ASO,1,"101,5000",-,-,-,2025-01-24,-,"101,5000",-,1,4,"101,2100","102,1000",25,1,-,-,-,2025-01-29 11:53:04
POLSKA GRUPA FARMACEUTYCZNA,PGF1026,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
POLSKI HOLDING NIERUCHOMOŚCI,PHN0327,GPW ASO,1,"102,2000",-,-,-,2025-01-28,-,"102,2000",-,1,200,"102,5000","103,8000",40,1,-,-,-,2025-01-29 11:53:04
POLSKI HOLDING NIERUCHOMOŚCI,PHN0526,GPW ASO,1,"102,0000",-,-,-,2025-01-24,-,"102,0000",-,1,10,"102,0000","104,9900",10,1,-,-,-,2025-01-29 11:53:04
POLSKI HOLDING NIERUCHOMOŚCI,PHN1127,GPW ASO,1,"104,4000",-,-,-,2025-01-24,-,"104,4000",-,1,10,"103,3200","104,2900",11,2,-,-,-,2025-01-29 11:53:04
ORLEN,PKN1225,GPW ASO,1,"100,1000","100,0000","100,0000","100,0000",10:13:15,1,"100,0000",-0.10,1,2,"100,0100","100,5000",1,1,2,6,"604,40",2025-01-29 11:53:04
PKO BP,PKO0229,GPW ASO,1,"100,1000",-,-,-,2025-01-22,-,"100,1000",-,1,1,"99,8000","100,8500",4,1,-,-,-,2025-01-29 11:53:04
PKO BP,PKO0328,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PKO BP,PKO0328,GPW ASO,1,"101,2500",-,-,-,2025-01-17,-,"101,2500",-,1,4,"100,6000","101,2500",7,1,-,-,-,2025-01-29 11:53:04
PKO BP,PKO0827,BS ASO,1,"101,2500",-,-,-,2018-10-09,-,"101,2500",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PKO BP,PKO0827,GPW ASO,1,"101,1000","101,1000","101,1000","101,1000",11:27:51,1,"101,1000",0.00,1,4,"100,5500","101,1000",9,1,1,1,"104,27",2025-01-29 11:53:04
PKO BP,PKO1034-K,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,1,"99,8000","102,3000",1,1,-,-,-,2025-01-29 11:53:04
P4 SP. Z O.O.,PLY1226,GPW ASO,1,"100,6000",-,-,-,2024-12-02,-,"100,6000",-,1,1,"99,5000","100,3500",10,1,-,-,-,2025-01-29 11:53:04
P4 SP. Z O.O.,PLY1227,GPW ASO,1,"100,9000",-,-,-,2025-01-28,-,"100,9000",-,1,4,"100,8500","100,9000",6,1,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF0127,GPW RR,1,"102,0000",-,-,-,2025-01-28,-,"102,0000",-,4,131,"101,2000","102,5900",100,1,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF0326,GPW ASO,1,"102,4900",-,-,-,2025-01-17,-,"102,4900",-,1,200,"101,7500","102,6000",100,1,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF0327,GPW RR,1,"102,0000",-,-,-,2025-01-27,-,"102,0000",-,1,50,"101,0500","102,2000",227,2,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF0525,GPW RR,1,"100,3000",-,-,-,2025-01-22,-,"100,3000",-,1,100,"99,9000","100,6900",53,1,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF0626,GPW ASO,1,"100,8000",-,-,-,2025-01-27,-,"100,8000",-,1,65,"100,6700","101,9000",4,1,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF0627,GPW RR,1,"101,6800",-,-,-,2025-01-28,-,"101,6800",-,1,50,"100,7000","101,6800",58,2,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF0727,GPW RR,1,"101,9900","101,5000","101,5000","101,5000",10:09:12,75,"101,5000",-0.48,1,6,"101,5000","101,9900",90,2,1,75,"7,61",2025-01-29 11:53:04
PRAGMAGO,PRF0927,GPW RR,1,"100,3900","100,3000","100,3000","100,3000",09:47:55,225,"100,3000",-0.09,1,97,"100,0000","100,3700",40,1,1,225,"22,91",2025-01-29 11:53:04
PRAGMAGO,PRF1025,GPW RR,1,"100,5900",-,-,-,2025-01-27,-,"100,5900",-,1,89,"100,1000","101,3900",38,1,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF1026,GPW RR,1,"101,1500",-,-,-,2025-01-28,-,"101,1500",-,1,50,"101,1400","101,1500",36,1,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF1126,GPW RR,1,"101,8900","101,8900","101,8900","101,8900",10:17:54,100,"101,8900",0.00,1,26,"101,2100","101,8900",100,1,1,100,"10,39",2025-01-29 11:53:04
PRAGMAGO,PRF1225,GPW ASO,1,"101,4900",-,-,-,2025-01-20,-,"101,4900",-,1,8,"100,3300","101,3700",34,1,-,-,-,2025-01-29 11:53:04
PRAGMAGO,PRF1228,GPW RR,1,"99,5000","99,7000","99,7000","99,7000",09:58:41,8,"99,7000",0.20,1,2,"99,5100","99,7000",47,1,2,110,"11,09",2025-01-29 11:53:04
PZU,PZU0727,BS ASO,1,"100,0000",-,-,-,2023-03-08,-,"100,0000",-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
PZU,PZU0727,GPW ASO,1,"102,2500","101,7500","101,7500","102,2400",10:47:23,1,"102,2400",-0.01,1,5,"101,7500","102,2400",4,2,3,7,"713,52",2025-01-29 11:53:04
ROBYG,ROB0626,GPW ASO,1,"101,2000",-,-,-,2025-01-21,-,"101,2000",-,1,1,"100,9500","102,0000",37,1,-,-,-,2025-01-29 11:53:04
RONSON,RON0726,GPW ASO,1,"102,6000",-,-,-,2025-01-22,-,"102,6000",-,1,2,"102,6000","103,4800",4,1,-,-,-,2025-01-29 11:53:04
RONSON,RON0827,GPW ASO,1,"100,5000",-,-,-,2025-01-22,-,"100,5000",-,1,2,"101,0000","101,6500",10,1,-,-,-,2025-01-29 11:53:04
RONSON,RON0928,GPW ASO,1,"100,2200",-,-,-,2025-01-28,-,"100,2200",-,1,5,"100,1000","100,5000",79,1,-,-,-,2025-01-29 11:53:04
R.POWER S.A.,RP11029,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,3,"100,0000",-,-,-,-,-,-,2025-01-29 11:53:04
R.POWER S.A.,RP21029,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
R.POWER S.A.,RPW1029,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
SANTANDER BANK POLSKA,SPL0427,GPW ASO,1,"101,2400",-,-,-,2024-11-27,-,"101,2400",-,1,1,"100,0000","100,7400",1,1,-,-,-,2025-01-29 11:53:04
SANTANDER BANK POLSKA,SPL0428,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2025-01-29 11:53:04
SANTANDER BANK POLSKA,SPL0428,GPW ASO,1,"100,0000",-,-,-,2024-11-25,-,"100,0000",-,1,1,"100,2000","101,5000",1,1,-,-,-,2025-01-29 11:53:04
SANTANDER BANK POLSKA,SPL0927,GPW ASO,1,"100,2700",-,-,-,2025-01-28,-,"100,2700",-,1,1,"99,5000","100,2600",1,1,-,-,-,2025-01-29 11:53:04
SANTANDER BANK POLSKA,SPL1126,GPW ASO,1,"101,2500",-,-,-,2024-08-01,-,"101,2500",-,1,1,"100,0000",-,-,-,-,-,-,2025-01-29 11:53:04
INVEST TDJ ESTATE,TDJ1226,GPW ASO,1,"103,0000",-,-,-,2025-01-24,-,"103,0000",-,1,10,"102,5000","103,0000",15,1,-,-,-,2025-01-29 11:53:04
TAURON POLSKA ENERGIA,TPE1025,GPW ASO,1,"101,0000",-,-,-,2025-01-21,-,"101,0000",-,1,6,"100,0500","100,5000",221,3,-,-,-,2025-01-29 11:53:04
UNIDEVELOPMENT,UDV0426,GPW ASO,1,"100,9000",-,-,-,2025-01-24,-,"100,9000",-,1,20,"100,6300","100,9000",8,1,-,-,-,2025-01-29 11:53:04
UNIDEVELOPMENT,UDV0726,GPW ASO,1,"101,0000",-,-,-,2024-08-20,-,"101,0000",-,1,6,"101,0000",-,-,-,-,-,-,2025-01-29 11:53:04
UNIBEP SA,UNI1026,GPW ASO,1,"99,8000","99,8000","99,8000","99,8000",09:49:56,2,"99,8000",0.00,-,-,-,"99,8000",188,1,2,12,"1,23",2025-01-29 11:53:04
VEHIS FINANSE,VHI0526,GPW ASO,1,"104,9000",-,-,-,2025-01-20,-,"104,9000",-,1,5,"102,5000","104,1000",12,1,-,-,-,2025-01-29 11:53:04
VEHIS FINANSE,VHI0626,GPW ASO,1,"102,0000",-,-,-,2025-01-21,-,"102,0000",-,1,3,"101,0200","103,9000",9,2,-,-,-,2025-01-29 11:53:04
VEHIS FINANSE,VHI0627,GPW ASO,1,"100,4900","100,9500","100,9500","100,9500",09:00:00,1,"100,9500",0.46,1,10,"100,4900","100,9400",4,1,3,10,"10,20",2025-01-29 11:53:04
VICTORIA DOM SPÓŁKA AKCYJNA,VI10825,GPW ASO,1,"101,2000","101,2000","101,2000","101,2000",09:00:00,40,"101,2000",0.00,1,10,"100,0000","101,4500",10,1,1,40,"41,20",2025-01-29 11:53:04
VICTORIA DOM SPÓŁKA AKCYJNA,VID0326,GPW ASO,1,"102,5000",-,-,-,2025-01-28,-,"102,5000",-,1,4,"101,9400","102,6000",4,1,-,-,-,2025-01-29 11:53:04
VICTORIA DOM SPÓŁKA AKCYJNA,VID0427,GPW ASO,1,"101,2000","101,2000","101,2000","101,2000",11:04:10,3,"101,2000",0.00,1,3,"101,0100","101,9000",20,1,1,3,"3,15",2025-01-29 11:53:04
VICTORIA DOM SPÓŁKA AKCYJNA,VID0626,GPW ASO,1,"102,9000",-,-,-,2025-01-28,-,"102,9000",-,1,3,"101,5200","103,3800",1,1,-,-,-,2025-01-29 11:53:04
VICTORIA DOM SPÓŁKA AKCYJNA,VID0827,GPW ASO,1,"101,0000","101,0000","101,0000","101,0000",10:26:06,8,"101,0000",0.00,4,53,"101,0000","101,6000",4,1,2,10,"10,10",2025-01-29 11:53:04
VICTORIA DOM SPÓŁKA AKCYJNA,VID0926,GPW ASO,1,"102,5000",-,-,-,2025-01-23,-,"102,5000",-,1,5,"100,3000","103,6700",3,1,-,-,-,2025-01-29 11:53:04
VICTORIA DOM SPÓŁKA AKCYJNA,VID1226,GPW ASO,1,"102,1700",-,-,-,2025-01-28,-,"102,1700",-,1,31,"102,0000","102,1700",12,1,-,-,-,2025-01-29 11:53:04
VICTORIA DOM SPÓŁKA AKCYJNA,VID1227,GPW ASO,1,"100,9000","100,9000","100,9000","100,9000",10:31:52,58,"100,9000",0.00,2,13,"100,9000","101,2800",4,1,4,78,"79,85",2025-01-29 11:53:04
VINDEXUS,VIN0127,GPW ASO,1,"104,0100",-,-,-,2025-01-28,-,"104,0100",-,1,96,"103,4000","103,9900",163,1,-,-,-,2025-01-29 11:53:04
VINDEXUS,VIN0327,GPW ASO,1,"102,8000",-,-,-,2025-01-27,-,"102,8000",-,1,20,"102,5000","103,3000",386,1,-,-,-,2025-01-29 11:53:04
VINDEXUS,VIN0727,GPW ASO,1,"102,7000",-,-,-,2025-01-27,-,"102,7000",-,1,18,"101,6600","103,0000",6,1,-,-,-,2025-01-29 11:53:04
VOXEL,VOX0625,GPW ASO,1,"101,2000",-,-,-,2025-01-21,-,"101,2000",-,1,5,"99,6100","101,7500",4,1,-,-,-,2025-01-29 11:53:04
WB ELECTRONICS,WBE1126,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,2,5,"100,0000",-,-,-,-,-,-,2025-01-29 11:53:04
WHITE STONE DEVELOPMENT,WSD0427,GPW ASO,1,"101,0100","101,0000","101,0000","102,3000",10:23:08,10,"102,3000",1.28,1,10,"101,0000","102,8000",13,1,3,69,"70,22",2025-01-29 11:53:04
WHITE STONE DEVELOPMENT,WSD0627,GPW ASO,1,"101,6000","102,4900","102,4900","102,5000",10:22:50,6,"102,5000",0.89,1,20,"101,0000","103,0000",30,1,2,27,"27,93",2025-01-29 11:53:04
